"open","high","low","close","adjusted close","volume","dividend amount","split coefficient","dates"
74.24,74.48,74.03,74.43,127.70883136,783800,0,1,"2013-05-07"
73.95,74.19,73.9084,74.05,127.056817979,1399400,0,1,"2013-05-06"
73.79,74.12,73.75,73.82,126.662178302,951600,0,1,"2013-05-03"
72.68,73.2,72.6,73.13,125.478259269,809400,0,1,"2013-05-02"
72.96,72.98,72.39,72.48,124.362973223,924800,0,1,"2013-05-01"
72.93,73.14,72.63,73.14,125.495417515,972600,0,1,"2013-04-30"
72.65,73.0901,72.54,72.91,125.100777838,1038000,0,1,"2013-04-29"
72.48,72.61,72.22,72.44,124.294340235,519400,0,1,"2013-04-26"
72.49,72.92,72.39,72.6,124.568872185,600800,0,1,"2013-04-25"
72.26,72.48,72.13,72.28,124.019808286,3551400,0,1,"2013-04-24"
71.85,72.3,71.5,72.26,123.985491792,1750000,0,1,"2013-04-23"
